Exchange,Market,Symbol,Buy/Sell,Participant,Custodian,Client,Trader,Short Sell,Price,Volume,Yield %,Accrued Interest,Order No.,Ticket No.,Date/Time,Execution Date/Time,Type,Filled Volume,Remaining Volume,Disc. Volume,Trigger Price,Order Initiator,Pricing Mechanism
ZSE,REG,CBZ.ZW,Buy,PSPLZWHX,CBZCZWHX,150928006469-0001,CHRIS,NO,0.6,"1,032,400",0,0,156539,85408,11/10/2020 10:00:27.463054 AM,11/10/2020 10:00:27.465415 AM,Limit,"16,000",1016400,0,0,CHRIS,
ZSE,REG,CBZ.ZW,Sell,PSPLZWHX,CBZCZWHX,141110002963-0001,TONDERAI,NO,0.62,"700,000",0,0,156534,85409,11/10/2020 10:00:05.507443 AM,11/10/2020 10:00:27.467958 AM,Limit,"700,000",0,0,0,TONDERAI,
ZSE,REG,CBZ.ZW,Sell,PSPLZWHX,CBZCZWHX,170215017550-0001,TONDERAI,NO,0.62,"316,400",0,0,156533,85410,11/10/2020 10:00:21.998662 AM,11/10/2020 10:00:27.471491 AM,Limit,"316,400",0,0,0,TONDERAI,
ZSE,REG,CBZ.ZW,Buy,PSPLZWHX,CBZCZWHX,150928006469-0001,CHRIS,NO,0.62,"1,032,400",0,0,156539,85410,11/10/2020 10:00:27.463054 AM,11/10/2020 10:00:27.471491 AM,Limit,"316,400",0,0,0,CHRIS,
ZSE,REG,ECO.ZW,Buy,PSPLZWHX,CBZCZWHX,151008006563-0001,TONDERAI,NO,1.7775,"400,000",0,0,156544,85414,11/10/2020 10:05:01.865008 AM,11/10/2020 10:05:03.293895 AM,Limit,"399,000",0,0,0,TONDERAI,
ZSE,REG,ECO.ZW,Sell,PSPLZWHX,CBCSZWHX,190125036609-0001,CHRIS,NO,1.775,"401,000",0,0,156545,85415,11/10/2020 10:05:03.291464 AM,11/10/2020 10:05:03.296517 AM,Limit,"2,000",0,0,0,CHRIS,
ZSE,REG,DLTA.ZW,Buy,PSPLZWHX,CBCSZWHX,190125036609-0001,CHRIS,NO,4,"172,200",0,0,156565,85427,11/10/2020 10:08:22.965562 AM,11/10/2020 10:08:29.504543 AM,Limit,"164,000",0,0,0,CHRIS,
ZSE,REG,OMU.ZW,Sell,PSPLZWHX,CBCSZWHX,141008002352-0001,CHRIS,NO,36.95,"5,400",0,0,156610,85447,11/10/2020 10:48:11.670462 AM,11/10/2020 10:48:13.812767 AM,Limit,"5,400",0,0,0,CHRIS,
ZSE,REG,OMU.ZW,Buy,PSPLZWHX,CBZCZWHX,141110002963-0001,TONDERAI,NO,36.95,"5,400",0,0,156611,85447,11/10/2020 10:48:13.810002 AM,11/10/2020 10:48:13.812767 AM,Limit,"5,400",0,0,0,TONDERAI,
ZSE,ODD,OMU.ZW,Sell,PSPLZWHX,CBCSZWHX,141008002352-0001,CHRIS,NO,36.95,92,0,0,156612,85448,11/10/2020 10:49:23.974749 AM,11/10/2020 10:49:24.323337 AM,Limit,92,0,0,0,CHRIS,
ZSE,ODD,TSL.ZW,Sell,PSPLZWHX,PSBLZWHX,170816024506-0001,TONDERAI,NO,0.8,83,0,0,155729,85497,11/10/2020 09:00:26.166588 AM,11/10/2020 11:34:34.022693 AM,Limit,83,0,0,0,TONDERAI,
ZSE,REG,CBZ.ZW,Buy,PSPLZWHX,CBZCZWHX,141111002978-0001,CHRIS,NO,0.62,"654,600",0,0,156785,85557,11/10/2020 12:47:21.886635 PM,11/10/2020 12:47:21.919491 PM,Limit,"654,600",0,0,0,CHRIS,
ZSE,REG,CBZ.ZW,Sell,PSPLZWHX,CBZCZWHX,141110002963-0001,TONDERAI,NO,0.62,"654,600",0,0,156786,85557,11/10/2020 12:47:21.916852 PM,11/10/2020 12:47:21.919491 PM,Limit,"654,600",0,0,0,TONDERAI,
ZSE,REG,DLTA.ZW,Buy,PSPLZWHX,STINZWHX,141006002313-0001,CHRIS,NO,3.9675,"12,400",0,0,156836,85589,11/10/2020 02:31:52.983464 PM,11/10/2020 02:31:52.986700 PM,Limit,"12,400",0,0,0,CHRIS,
ZSE,REG,DLTA.ZW,Sell,PSPLZWHX,STINZWHX,190311037287-0001,TONDERAI,NO,3.9675,"12,400",0,0,156837,85590,11/10/2020 02:33:05.571224 PM,11/10/2020 02:33:06.656752 PM,Limit,"12,400",0,0,0,TONDERAI,
ZSE,REG,DLTA.ZW,Buy,PSPLZWHX,CBCSZWHX,190125036609-0001,CHRIS,NO,3.9675,"12,400",0,0,156838,85590,11/10/2020 02:33:06.653636 PM,11/10/2020 02:33:06.656752 PM,Limit,"12,400",0,0,0,CHRIS,
